country	0-14	15-64	over	64
Afghanistan	43.2	54.2	2.6
Albania	17.4	68.9	13.2
Algeria	29.3	64.5	6.2
Angola	46.8	50.8	2.4
Antigua and Barbuda	23.9	69.2	6.9
Argentina	24.9	63.9	11.2
Armenia	20.0	68.8	11.2
Aruba	17.9	69.0	13.1
Australia	19.0	65.5	15.5
Austria	14.1	66.7	19.2
Azerbaijan	23.3	70.7	6.0
Bahamas	20.5	70.6	9.0
Bahrain	19.7	77.9	2.4
Bangladesh	28.4	66.5	5.1
Barbados	19.1	66.0	15.0
Belarus	16.7	68.5	14.8
Belgium	17.1	64.3	18.6
Belize	31.4	64.7	3.9
Benin	42.7	54.1	3.2
Bhutan	26.6	68.6	4.9
Bolivia	31.6	61.7	6.7
Bosnia and Herzegovina	14.1	69.3	16.6
Botswana	31.4	64.7	3.9
Brazil	21.7	69.7	8.6
Brunei	23.0	72.4	4.6
Bulgaria	14.2	65.0	20.8
Burkina Faso	45.2	52.4	2.4
Burundi	45.0	52.4	2.6
Cambodia	31.3	64.3	4.4
Cameroon	42.7	54.1	3.2
Canada	16.0	67.0	17.0
Cape Verde	30.2	65.3	4.5
Central African Republic	43.2	53.1	3.7
Chad	47.1	50.4	2.5
Chile	20.3	68.6	11.1
China	17.7	71.7	10.6
Colombia	23.5	68.9	7.6
Comoros	39.8	57.3	3.0
Costa Rica	21.3	68.9	9.5
Croatia	14.7	65.6	19.7
Cuba	16.1	69.2	14.7
Curaçao	18.7	64.9	16.4
Cyprus	16.8	69.8	13.4
Czech Republic	15.4	65.6	19.0
Democratic Republic of the Congo	46.3	50.7	3.0
Denmark	16.5	63.8	19.7
Djibouti	31.1	64.7	4.2
Dominican Republic	29.3	63.7	7.0
Ecuador	28.4	64.5	7.1
Egypt	33.5	61.4	5.2
El Salvador	27.4	64.4	8.3
Equatorial Guinea	37.2	60.0	2.8
Eritrea	41.8	54.6	3.6
Estonia	16.4	64.2	19.5
Eswatini (Swaziland)	37.2	59.7	3.2
Ethiopia	40.6	55.9	3.5
Federated States of Micronesia	33.1	62.1	4.8
Fiji	28.5	65.3	6.2
Finland	16.4	62.4	21.2
France	18.1	62.2	19.7
